#particle, x, y, area, density
172, 692, 57, 30, 146.43
173, 1116, 57, 24, 148.67
174, 92, 58, 24, 148.92
175, 922, 58, 67, 143.66
176, 1072, 58, 20, 163.15
177, 681, 59, 24, 151.92
178, 975, 59, 49, 159.10
179, 546, 60, 33, 157.79
180, 986, 60, 8, 162.88
181, 1083, 60, 34, 155.82
182, 232, 61, 20, 142.20
183, 630, 61, 61, 124.02
184, 284, 62, 15, 153.27
185, 780, 62, 25, 152.16
186, 876, 62, 91, 151.20
187, 1305, 62, 23, 158.00
188, 420, 63, 30, 154.63
189, 658, 63, 20, 149.75
190, 793, 63, 87, 148.44
191, 912, 63, 4, 146.00
192, 222, 64, 34, 144.50
193, 651, 64, 13, 154.31
194, 946, 64, 30, 160.07
195, 399, 65, 51, 148.12
196, 1186, 65, 19, 159.11
197, 1322, 65, 17, 160.47
198, 49, 66, 4, 150.75
199, 409, 66, 28, 156.43
200, 428, 66, 15, 157.20
201, 909, 66, 10, 154.70
202, 808, 67, 8, 150.50
203, 81, 68, 17, 153.53
204, 76, 69, 4, 151.50
205, 1286, 69, 29, 158.31
206, 770, 71, 10, 159.50
207, 57, 72, 21, 152.00
208, 194, 72, 28, 150.86
209, 216, 72, 10, 154.40
210, 817, 72, 13, 162.15
211, 315, 73, 37, 156.35
212, 382, 73, 21, 148.67
213, 477, 73, 25, 154.48
214, 508, 73, 17, 159.65
215, 619, 73, 53, 146.02
216, 393, 74, 8, 153.00
217, 423, 74, 43, 143.14
218, 964, 74, 22, 164.59
219, 44, 75, 31, 151.03
220, 73, 75, 9, 156.56
221, 221, 75, 19, 153.95
222, 281, 75, 20, 155.30
223, 431, 75, 23, 152.83
224, 559, 75, 19, 162.42
225, 437, 76, 4, 149.00
226, 1149, 76, 24, 153.46
227, 1241, 76, 33, 162.45
228, 1262, 77, 8, 158.00
229, 326, 78, 41, 158.07
230, 82, 79, 33, 156.03
231, 301, 79, 15, 159.67
232, 391, 79, 17, 154.35
233, 485, 79, 4, 154.00
234, 1231, 79, 15, 165.00
235, 309, 80, 19, 164.79
236, 794, 80, 18, 155.56
237, 618, 81, 38, 153.97
238, 372, 82, 73, 142.16
239, 537, 82, 15, 161.80
240, 835, 82, 21, 154.71
241, 1064, 82, 81, 144.84
242, 1304, 82, 29, 159.72
243, 479, 83, 46, 144.98
244, 935, 83, 31, 162.03
245, 431, 84, 4, 144.50
246, 602, 84, 6, 157.83
247, 646, 84, 78, 150.27
248, 786, 84, 16, 158.88
249, 913, 84, 10, 158.30
250, 906, 85, 15, 160.73
251, 1263, 85, 51, 151.45
252, 319, 86, 32, 159.84
253, 385, 87, 15, 147.53
254, 624, 87, 30, 152.33
255, 899, 88, 24, 158.58
256, 1166, 88, 27, 151.44
257, 194, 89, 15, 152.13
258, 333, 89, 4, 156.50
259, 447, 89, 32, 154.16
260, 666, 89, 19, 149.37
261, 911, 89, 31, 153.52
262, 302, 90, 13, 166.38
263, 380, 90, 58, 146.55
264, 730, 90, 52, 158.08
265, 154, 91, 55, 151.71
266, 633, 91, 12, 152.67
267, 709, 91, 12, 151.92
268, 758, 91, 21, 167.52
269, 881, 91, 15, 154.47
270, 996, 91, 13, 165.46
271, 63, 92, 4, 150.75
272, 101, 92, 31, 152.45
273, 160, 92, 13, 154.54
274, 264, 92, 29, 156.14
275, 1138, 92, 43, 147.72
276, 850, 93, 24, 152.54
277, 892, 93, 44, 145.86
278, 988, 93, 10, 164.20
279, 1151, 93, 24, 147.79
280, 1162, 93, 36, 122.78
281, 1284, 93, 23, 160.61
282, 203, 94, 12, 155.50
283, 489, 94, 11, 154.73
284, 1005, 94, 31, 156.55
285, 220, 95, 10, 149.80
286, 342, 95, 9, 162.22
287, 856, 95, 9, 158.67
288, 1058, 95, 4, 145.50
289, 70, 96, 33, 152.48
290, 311, 96, 26, 164.85
291, 617, 96, 19, 155.32
292, 644, 97, 18, 152.50
293, 674, 97, 57, 149.25
294, 876, 97, 81, 143.51
295, 624, 98, 21, 148.67
296, 831, 98, 18, 160.72
297, 1198, 98, 4, 157.75
298, 95, 99, 4, 150.25
299, 214, 99, 29, 151.86
300, 1105, 99, 42, 138.36
301, 1153, 99, 23, 151.83
302, 226, 100, 31, 146.71
303, 958, 100, 81, 151.74
304, 970, 100, 29, 157.00
305, 563, 101, 9, 162.33
306, 357, 102, 19, 155.79
307, 402, 102, 57, 141.84
308, 29, 103, 4, 157.50
309, 147, 103, 4, 152.25
310, 167, 103, 4, 151.50
311, 597, 103, 15, 157.73
312, 615, 103, 20, 150.70
313, 983, 103, 13, 159.62
314, 135, 104, 42, 153.38
315, 441, 104, 14, 155.43
316, 590, 104, 36, 157.36
317, 668, 104, 4, 149.50
318, 1287, 104, 30, 165.20
319, 715, 105, 39, 151.90
320, 772, 105, 43, 163.21
321, 851, 105, 10, 158.70
322, 474, 106, 10, 147.90
323, 729, 106, 9, 161.11
324, 782, 106, 26, 154.73
325, 9, 107, 24, 162.42
326, 333, 107, 4, 158.75
327, 664, 107, 69, 146.78
328, 998, 107, 21, 159.95
329, 356, 108, 60, 155.62
